Classes,All-Frames,Brox_MyKey25,FlowNet_MyKey25
BaseballPitch,0.91,0.89,0.87
Basketball,0.88,0.89,0.84
BenchPress,0.99,0.98,0.96
Biking,0.92,0.93,0.9
Billiards,1.0,1.0,0.99
BreastStroke,0.96,0.95,0.93
CleanAndJerk,0.96,0.95,0.94
Diving,0.97,0.98,0.94
Drumming,0.96,0.96,0.94
Fencing,0.95,0.94,0.96
GolfSwing,0.93,0.89,0.9
HighJump,0.76,0.72,0.74
HorseRace,0.9,0.89,0.79
HorseRiding,0.92,0.9,0.87
HulaHoop,0.91,0.91,0.89
JavelinThrow,0.87,0.84,0.85
JugglingBalls,0.96,0.95,0.92
JumpingJack,1.0,1.0,0.97
JumpRope,0.98,0.98,0.97
Kayaking,0.9,0.87,0.87
Lunges,0.95,0.94,0.91
MilitaryParade,0.94,0.92,0.82
Mixing,0.89,0.89,0.95
Nunchucks,0.92,0.91,0.88
PizzaTossing,0.83,0.83,0.77
PlayingGuitar,0.99,0.99,0.98
PlayingPiano,0.99,0.99,0.94
PlayingTabla,1.0,0.98,0.99
PlayingViolin,0.97,0.98,0.98
PoleVault,0.89,0.83,0.8
PommelHorse,0.98,0.99,0.98
PullUps,0.95,0.92,0.95
Punch,0.97,0.96,0.96
PushUps,0.99,0.97,0.96
RockClimbingIndoor,0.91,0.91,0.9
RopeClimbing,0.92,0.92,0.85
Rowing,0.95,0.95,0.89
SalsaSpin,0.96,0.96,0.92
SkateBoarding,0.87,0.87,0.83
Skiing,0.77,0.74,0.78
Skijet,0.9,0.88,0.9
SoccerJuggling,0.9,0.9,0.9
Swing,0.95,0.87,0.91
TaiChi,0.95,0.91,0.84
TennisSwing,0.97,0.97,0.95
ThrowDiscus,0.88,0.85,0.87
TrampolineJumping,0.93,0.9,0.95
VolleyballSpiking,0.88,0.87,0.76
WalkingWithDog,0.84,0.76,0.7
YoYo,0.9,0.89,0.86
