Classes,All-Frames,Brox_MyKey25R,FlowNet_MyKey25R
BaseballPitch,0.91,0.54,0.47
Basketball,0.88,0.35,0.48
BenchPress,0.99,0.99,0.84
Biking,0.92,0.87,0.82
Billiards,1.0,0.98,0.98
BreastStroke,0.96,0.93,0.94
CleanAndJerk,0.96,0.77,0.86
Diving,0.97,0.91,0.83
Drumming,0.96,0.87,0.87
Fencing,0.95,0.79,0.84
GolfSwing,0.93,0.65,0.7
HighJump,0.76,0.49,0.55
HorseRace,0.9,0.7,0.74
HorseRiding,0.92,0.89,0.87
HulaHoop,0.91,0.65,0.56
JavelinThrow,0.87,0.71,0.74
JugglingBalls,0.96,0.82,0.72
JumpingJack,1.0,0.82,0.8
JumpRope,0.98,0.93,0.94
Kayaking,0.9,0.85,0.82
Lunges,0.95,0.91,0.87
MilitaryParade,0.94,0.8,0.74
Mixing,0.89,0.83,0.93
Nunchucks,0.92,0.68,0.8
PizzaTossing,0.83,0.33,0.33
PlayingGuitar,0.99,0.95,0.96
PlayingPiano,0.99,0.85,0.72
PlayingTabla,1.0,0.9,0.9
PlayingViolin,0.97,0.84,0.89
PoleVault,0.89,0.61,0.69
PommelHorse,0.98,0.73,0.67
PullUps,0.95,0.74,0.84
Punch,0.97,0.93,0.98
PushUps,0.99,0.73,0.77
RockClimbingIndoor,0.91,0.82,0.78
RopeClimbing,0.92,0.72,0.75
Rowing,0.95,0.84,0.77
SalsaSpin,0.96,0.75,0.93
SkateBoarding,0.87,0.83,0.77
Skiing,0.77,0.67,0.67
Skijet,0.9,0.74,0.82
SoccerJuggling,0.9,0.56,0.7
Swing,0.95,0.73,0.82
TaiChi,0.95,0.33,0.46
TennisSwing,0.97,0.63,0.76
ThrowDiscus,0.88,0.35,0.43
TrampolineJumping,0.93,0.83,0.84
VolleyballSpiking,0.88,0.63,0.5
WalkingWithDog,0.84,0.59,0.66
YoYo,0.9,0.5,0.61
