Classes,All-Frames,HGR-50%,Our-approach-25
ApplyEyeMakeup,0.9,0.9,0.88
ApplyLipstick,0.89,0.91,0.9
Archery,0.47,0.51,0.57
BabyCrawling,0.67,0.7,0.61
BalanceBeam,0.78,0.75,0.78
BandMarching,0.83,0.83,0.82
BaseballPitch,0.45,0.42,0.37
Basketball,0.68,0.71,0.67
BasketballDunk,0.98,0.97,0.95
BenchPress,0.92,0.94,0.92
Biking,0.64,0.66,0.62
Billiards,0.94,0.94,0.95
BlowDryHair,0.57,0.51,0.43
BlowingCandles,0.76,0.72,0.74
BodyWeightSquats,0.71,0.75,0.7
Bowling,0.83,0.82,0.84
BoxingPunchingBag,0.73,0.82,0.78
BoxingSpeedBag,0.8,0.71,0.82
BreastStroke,0.76,0.69,0.55
BrushingTeeth,0.12,0.11,0.09
CleanAndJerk,0.91,0.9,0.92
CliffDiving,0.73,0.73,0.69
CricketBowling,0.5,0.5,0.58
CricketShot,0.28,0.24,0.23
CuttingInKitchen,0.56,0.54,0.58
Diving,0.92,0.89,0.92
Drumming,0.81,0.78,0.79
Fencing,0.77,0.83,0.81
FieldHockeyPenalty,0.31,0.25,0.35
FloorGymnastics,0.63,0.61,0.52
FrisbeeCatch,0.66,0.63,0.68
FrontCrawl,0.41,0.4,0.45
GolfSwing,0.72,0.69,0.74
Haircut,0.45,0.48,0.55
Hammering,0.26,0.15,0.16
HammerThrow,0.66,0.66,0.62
HandstandPushups,0.54,0.61,0.57
HandstandWalking,0.4,0.49,0.37
HeadMassage,0.76,0.67,0.73
HighJump,0.46,0.43,0.51
HorseRace,0.93,0.92,0.9
HorseRiding,0.91,0.92,0.92
HulaHoop,0.8,0.81,0.83
IceDancing,0.94,0.92,0.92
JavelinThrow,0.55,0.59,0.45
JugglingBalls,0.65,0.81,0.71
JumpingJack,0.99,0.99,0.96
JumpRope,0.67,0.63,0.67
Kayaking,0.74,0.67,0.7
Knitting,0.89,0.87,0.86
LongJump,0.5,0.51,0.59
Lunges,0.49,0.58,0.55
MilitaryParade,0.81,0.76,0.75
Mixing,0.37,0.36,0.37
MoppingFloor,0.37,0.4,0.42
Nunchucks,0.38,0.36,0.42
ParallelBars,0.76,0.79,0.82
PizzaTossing,0.32,0.21,0.33
PlayingCello,0.66,0.67,0.7
PlayingDaf,0.72,0.68,0.74
PlayingDhol,0.84,0.76,0.8
PlayingFlute,0.73,0.76,0.63
PlayingGuitar,0.83,0.82,0.84
PlayingPiano,0.82,0.79,0.93
PlayingSitar,0.66,0.7,0.75
PlayingTabla,0.99,0.98,0.98
PlayingViolin,0.77,0.81,0.7
PoleVault,0.51,0.46,0.47
PommelHorse,0.84,0.92,0.89
PullUps,0.57,0.56,0.51
Punch,0.89,0.91,0.9
PushUps,0.75,0.71,0.72
Rafting,0.7,0.65,0.62
RockClimbingIndoor,0.46,0.5,0.49
RopeClimbing,0.69,0.74,0.73
Rowing,0.81,0.87,0.85
SalsaSpin,0.85,0.79,0.79
ShavingBeard,0.36,0.46,0.48
Shotput,0.45,0.46,0.46
SkateBoarding,0.75,0.68,0.71
Skiing,0.32,0.32,0.27
Skijet,0.73,0.65,0.71
SkyDiving,0.75,0.77,0.77
SoccerJuggling,0.74,0.76,0.75
SoccerPenalty,0.84,0.9,0.68
StillRings,0.78,0.76,0.8
SumoWrestling,0.81,0.87,0.83
Surfing,0.9,0.91,0.84
Swing,0.68,0.66,0.66
TableTennisShot,0.45,0.51,0.44
TaiChi,0.49,0.5,0.34
TennisSwing,0.36,0.27,0.28
ThrowDiscus,0.85,0.79,0.8
TrampolineJumping,0.73,0.75,0.8
Typing,0.4,0.49,0.41
UnevenBars,0.79,0.76,0.79
VolleyballSpiking,0.91,0.87,0.89
WalkingWithDog,0.58,0.39,0.57
WallPushups,0.63,0.62,0.44
WritingOnBoard,0.97,0.98,0.96
YoYo,0.41,0.4,0.38
