Classes,16f Consecutive Flows,16f FlowNet_MyKey25R
BaseballPitch,0.95,0.47
Basketball,0.87,0.48
BenchPress,1.0,0.84
Biking,0.96,0.82
Billiards,1.0,0.98
BreastStroke,0.87,0.94
CleanAndJerk,0.97,0.86
Diving,0.98,0.83
Drumming,0.98,0.87
Fencing,1.0,0.84
GolfSwing,0.91,0.7
HighJump,0.81,0.55
HorseRace,0.95,0.74
HorseRiding,0.94,0.87
HulaHoop,0.93,0.56
JavelinThrow,0.89,0.74
JugglingBalls,0.95,0.72
JumpingJack,1.0,0.8
JumpRope,1.0,0.94
Kayaking,0.94,0.82
Lunges,0.97,0.87
MilitaryParade,0.98,0.74
Mixing,0.97,0.93
Nunchucks,0.99,0.8
PizzaTossing,0.86,0.33
PlayingGuitar,1.0,0.96
PlayingPiano,1.0,0.72
PlayingTabla,1.0,0.9
PlayingViolin,1.0,0.89
PoleVault,0.9,0.69
PommelHorse,1.0,0.67
PullUps,1.0,0.84
Punch,0.96,0.98
PushUps,0.95,0.77
RockClimbingIndoor,0.99,0.78
RopeClimbing,0.87,0.75
Rowing,0.94,0.77
SalsaSpin,1.0,0.93
SkateBoarding,0.83,0.77
Skiing,0.96,0.67
Skijet,0.88,0.82
SoccerJuggling,0.91,0.7
Swing,0.97,0.82
TaiChi,0.98,0.46
TennisSwing,0.99,0.76
ThrowDiscus,0.91,0.43
TrampolineJumping,0.99,0.84
VolleyballSpiking,0.79,0.5
WalkingWithDog,0.81,0.66
YoYo,0.97,0.61
