Classes,16f KeyFrame,60f KeyFrame
BaseballPitch,0.89,0.86
Basketball,0.89,0.91
BenchPress,0.98,0.98
Biking,0.93,0.92
Billiards,1.0,1.0
BreastStroke,0.95,0.95
CleanAndJerk,0.95,0.92
Diving,0.98,0.97
Drumming,0.96,0.95
Fencing,0.94,0.91
GolfSwing,0.89,0.91
HighJump,0.72,0.74
HorseRace,0.89,0.86
HorseRiding,0.9,0.94
HulaHoop,0.91,0.91
JavelinThrow,0.84,0.87
JugglingBalls,0.95,0.95
JumpingJack,1.0,0.97
JumpRope,0.98,0.97
Kayaking,0.87,0.88
Lunges,0.94,0.94
MilitaryParade,0.92,0.9
Mixing,0.89,0.83
Nunchucks,0.91,0.93
PizzaTossing,0.83,0.71
PlayingGuitar,0.99,0.98
PlayingPiano,0.99,0.98
PlayingTabla,0.98,0.98
PlayingViolin,0.98,0.9
PoleVault,0.83,0.77
PommelHorse,0.99,1.0
PullUps,0.92,0.96
Punch,0.96,0.98
PushUps,0.97,0.88
RockClimbingIndoor,0.91,0.89
RopeClimbing,0.92,0.87
Rowing,0.95,0.94
SalsaSpin,0.96,0.9
SkateBoarding,0.87,0.86
Skiing,0.74,0.77
Skijet,0.88,0.77
SoccerJuggling,0.9,0.94
Swing,0.87,0.87
TaiChi,0.91,0.82
TennisSwing,0.97,0.9
ThrowDiscus,0.85,0.85
TrampolineJumping,0.9,0.89
VolleyballSpiking,0.87,0.74
WalkingWithDog,0.76,0.74
YoYo,0.89,0.84
